Brand,Model,Versions/Trims,Sales_2024_Approx,ExShowroom_Price_Start,Fuel_Type,Segment
Maruti,Swift,LXi/VXi/ZXi/ZXi+,57042,10.65 L,Hybrid,Compact SUV
Maruti,Baleno,Sigma/Delta/Zeta/Alpha,151108,39.12 L,Petrol/CNG,MPV
Maruti,Brezza,LXi/VXi/ZXi/ZXi+,103738,72.82 L,Hybrid,Hatchback
Maruti,Ertiga,LXi/VXi/ZXi/ZXi+,116947,71.91 L,Petrol/CNG,Sedan
Maruti,WagonR,LXi/VXi/ZXi,158744,35.28 L,Hybrid,Hatchback
Maruti,Dzire,LXi/VXi/ZXi/ZXi+,99608,23.17 L,Petrol/Diesel,Mid SUV
Maruti,Fronx,Sigma/Delta/Delta+/Zeta/Alpha,82162,51.98 L,Petrol/Diesel,Mid SUV
Maruti,Grand Vitara,Sigma/Delta/Zeta/Alpha,115588,34.61 L,Petrol/CNG,MPV
Maruti,Alto K10,Std/LXi/VXi/VXi+,183513,15.3 L,Petrol/Diesel,Compact SUV
Maruti,Eeco,5 Seater/7 Seater,100325,30.8 L,Petrol/CNG,MPV
Hyundai,Creta,E/EX/S/SX/SX(O),16451,32.27 L,Hybrid,Hatchback
Hyundai,Venue,E/S/S+/SX/SX(O),148618,17.06 L,Petrol/Diesel,Sedan
Hyundai,i20,Era/Magna/Sportz/Asta,110871,10.85 L,Petrol/Diesel,MPV
Hyundai,Verna,EX/S/SX/SX(O),74627,65.73 L,Hybrid,Hatchback
Hyundai,Exter,EX/S/SX/SX(O) Connect,166807,14.09 L,EV,Mid SUV
Hyundai,Alcazar,Prestige/Platinum/Signature,187929,70.06 L,EV,Mid SUV
Hyundai,Tucson,Platinum/Signature,115228,50.54 L,Petrol/Diesel,Premium SUV
Hyundai,Aura,E/S/SX,18863,8.81 L,Diesel,Premium SUV
Tata,Nexon,Smart/Pure/Creative/Fearless,190011,62.59 L,Petrol/CNG,MPV
Tata,Punch,Pure/Adventure/Accomplished/Creative,115831,71.91 L,Hybrid,Hatchback
Tata,Harrier,Smart/Pure/Adventure/Fearless,9833,71.69 L,EV,Sedan
Tata,Safari,Smart/Pure/Adventure/Accomplished,80364,15.13 L,Hybrid,Premium SUV
Tata,Altroz,XE/XM/XT/XZ,124388,11.03 L,EV,Mid SUV
Tata,Tiago,XE/XM/XT/XZ,171476,24.63 L,Petrol/CNG,Premium SUV
Tata,Curvv,Smart/Pure/Creative/Accomplished,128893,58.43 L,Petrol/CNG,Mid SUV
Tata,Curvv EV,Creative/Accomplished/Empowered,161506,44.78 L,Petrol,Premium SUV
Mahindra,Scorpio,Z2/Z4/Z6/Z8/Z8L,112499,59.98 L,Diesel,Sedan
Mahindra,Scorpio N,Z2/Z4/Z6/Z8/Z8L,106198,5.73 L,Diesel,MPV
Mahindra,Thar,AX(O)/LX,55233,71.43 L,Hybrid,MPV
